Status,Ticket ID,Priority,Support Channel,Issue Category,Agent Name,Created DateTime,SLA Resolve Due,SLA First Response Due,Resolution DateTime,First Response DateTime,Interaction Count,CSAT Score,Product Segment,Support Tier,Country,Resolution Hours,First Response Minutes,Single Touch Flag,Res SLA Breach,FR SLA Breach,Agent Joining Date,Experience Level,,
Resolved,TKT-1382,High,Email,Pricing and licensing,Connor Danielovitch,2023-02-14 22:46:19,2023-02-16 22:46:19,2023-02-14 23:46:19,2023-02-15 07:22:08,2023-02-14 23:57:06,3,,Other,Tier 1,Greece,8.6,71,0,0,1,2018-02-15,Senior,,
Resolved,TKT-1383,Low,Chat,Product setup,Kristos Westoll,2023-02-14 05:47:05,2023-02-15 05:47:05,2023-02-14 05:49:05,2023-02-14 09:08:57,2023-02-14 05:48:39,7,,Ready to use Software,Tier 1,Bulgaria,3.36,2,0,0,0,2021-10-18,Mid-Level,,
Resolved,TKT-1384,Low,Phone,Pricing and licensing,Kristos Westoll,2023-02-14 15:54:07,2023-02-16 15:54:07,2023-02-14 15:56:07,2023-02-14 20:39:01,2023-02-14 15:56:42,6,,Ready to use Software,Tier 1,Germany,4.75,3,0,0,1,2021-10-18,Mid-Level,,
Closed,TKT-1385,Low,Email,Product setup,Michele Whyatt,2023-02-14 10:28:47,2023-02-16 10:28:47,2023-02-14 11:28:47,2023-02-15 08:28:40,2023-02-14 10:59:14,1,1,Ready to use Software,Tier 2,Austria,22,30,1,0,0,2022-04-10,Junior,,
Closed,TKT-1386,High,Phone,Feature request,Michele Whyatt,2023-02-14 08:24:35,2023-02-16 08:24:35,2023-02-14 08:26:35,2023-02-14 17:14:24,2023-02-14 08:27:31,2,1,Other,Tier 2,Italy,8.83,3,0,0,1,2022-04-10,Junior,,
In Progress,TKT-1387,Medium,Phone,Other,Kristos Westoll,2023-02-15 18:19:14,2023-02-17 18:19:14,2023-02-15 18:21:14,,2023-02-15 18:19:28,2,,Ready to use Software,Tier 1,Poland,,0,0,,0,2021-10-18,Mid-Level,,
Closed,TKT-1388,Low,Email,Pricing and licensing,Sheela Cutten,2023-02-15 17:28:46,2023-02-17 17:28:46,2023-02-15 18:28:46,2023-02-17 12:53:44,2023-02-15 18:02:57,7,5,Ready to use Software,Tier 1,Italy,43.42,34,0,0,0,2019-07-10,Senior,,
Closed,TKT-1389,Low,Email,Pricing and licensing,Michele Whyatt,2023-02-15 17:13:03,2023-02-17 17:13:03,2023-02-15 18:13:03,2023-02-16 14:43:12,2023-02-15 17:23:53,6,1,Custom software development,Tier 2,Greece,21.5,11,0,0,0,2022-04-10,Junior,,
Resolved,TKT-1390,High,Email,Product setup,Nicola Wane,2023-02-15 02:01:20,2023-02-17 02:01:20,2023-02-15 03:01:20,2023-02-17 00:02:38,2023-02-15 02:27:28,10,,Ready to use Software,Tier 1,Poland,46.02,26,0,0,0,2021-03-12,Mid-Level,,
Resolved,TKT-1391,Low,Email,Bug report,Sheela Cutten,2023-02-15 00:06:37,2023-02-17 00:06:37,2023-02-15 01:06:37,2023-02-15 11:07:33,2023-02-15 00:23:30,8,,Ready to use Software,Tier 1,United Kingdom,11.02,17,0,0,0,2019-07-10,Senior,,
Closed,TKT-1392,Low,Email,Pricing and licensing,Bernard Beckley,2023-02-15 12:18:14,2023-02-17 12:18:14,2023-02-15 13:18:14,2023-02-18 15:38:03,2023-02-15 12:20:53,5,5,Custom software development,Tier 1,Spain,75.33,3,0,1,0,2019-11-20,Senior,,
Resolved,TKT-1393,High,Phone,Pricing and licensing,Kristos Westoll,2023-02-15 00:29:04,2023-02-17 00:29:04,2023-02-15 00:31:04,2023-02-15 17:52:43,2023-02-15 00:29:51,1,,Custom software development,Tier 1,Italy,17.39,1,1,0,0,2021-10-18,Mid-Level,,
Resolved,TKT-1394,High,Email,Pricing and licensing,Heather Urry,2023-02-15 16:04:53,2023-02-17 16:04:53,2023-02-15 17:04:53,2023-02-17 07:27:19,2023-02-15 16:15:06,1,,Ready to use Software,Tier 2,United Kingdom,39.37,10,1,0,0,2022-09-25,Junior,,
Closed,TKT-1395,Medium,Chat,Product setup,Bernard Beckley,2023-02-15 10:04:09,2023-02-16 10:04:09,2023-02-15 10:06:09,2023-02-15 17:21:21,2023-02-15 10:05:31,6,4,Other,Tier 1,Poland,7.29,1,0,0,0,2019-11-20,Senior,,
Resolved,TKT-1396,Low,Email,Purchasing and invoicing,Kristos Westoll,2023-02-15 04:35:29,2023-02-17 04:35:29,2023-02-15 05:35:29,2023-02-16 12:44:22,2023-02-15 06:58:33,1,,Ready to use Software,Tier 1,Italy,32.15,143,1,0,1,2021-10-18,Mid-Level,,
Resolved,TKT-1397,Low,Email,Product setup,Sheela Cutten,2023-02-16 00:26:24,2023-02-18 00:26:24,2023-02-16 01:26:24,2023-02-16 06:30:34,2023-02-16 00:55:24,1,,Other,Tier 1,Bulgaria,6.07,29,1,0,0,2019-07-10,Senior,,
Closed,TKT-1398,High,Email,Feature request,Sheela Cutten,2023-02-16 07:38:48,2023-02-18 07:38:48,2023-02-16 08:38:48,2023-02-17 18:32:13,2023-02-16 08:18:49,9,4,Ready to use Software,Tier 1,Germany,34.89,40,0,0,0,2019-07-10,Senior,,
In Progress,TKT-1399,Medium,Chat,Pricing and licensing,Michele Whyatt,2023-02-16 12:00:03,2023-02-17 12:00:03,2023-02-16 12:02:03,,2023-02-16 12:01:20,60,,Custom software development,Tier 2,Poland,,1,0,,0,2022-04-10,Junior,,
Closed,TKT-1400,Medium,Chat,Product setup,Nicola Wane,2023-02-16 18:57:00,2023-02-17 18:57:00,2023-02-16 18:59:00,2023-02-16 23:33:58,2023-02-16 18:57:39,6,4,Training and Consulting Services,Tier 1,Slovenia,4.62,1,0,0,0,2021-03-12,Mid-Level,,
Resolved,TKT-1401,Low,Email,Product setup,Heather Urry,2023-02-16 06:49:55,2023-02-18 06:49:55,2023-02-16 07:49:55,2023-02-16 21:16:34,2023-02-16 07:09:33,1,,Custom software development,Tier 2,Poland,14.44,20,1,0,0,2022-09-25,Junior,,
Resolved,TKT-1402,Low,Chat,Product setup,Bernard Beckley,2023-02-17 21:06:58,2023-02-18 21:06:58,2023-02-17 21:08:58,2023-02-18 15:04:41,2023-02-17 21:11:16,6,,Training and Consulting Services,Tier 1,Germany,17.96,4,0,0,1,2019-11-20,Senior,,
In Progress,TKT-1403,Low,Email,Product setup,Bernard Beckley,2023-02-17 07:44:46,2023-02-19 07:44:46,2023-02-17 08:44:46,,2023-02-17 08:16:25,5,,Other,Tier 1,Italy,,32,0,,0,2019-11-20,Senior,,
Resolved,TKT-1404,Low,Email,Product setup,Heather Urry,2023-02-17 15:53:25,2023-02-19 15:53:25,2023-02-17 16:53:25,2023-02-19 07:10:47,2023-02-17 15:59:56,4,,Other,Tier 2,Poland,39.29,7,0,0,0,2022-09-25,Junior,,
Resolved,TKT-1405,Low,Email,Pricing and licensing,Sheela Cutten,2023-02-17 02:42:19,2023-02-19 02:42:19,2023-02-17 03:42:19,2023-02-18 12:14:14,2023-02-17 03:25:04,1,,Custom software development,Tier 1,Germany,33.53,43,1,0,0,2019-07-10,Senior,,
In Progress,TKT-1406,Low,Email,Pricing and licensing,Connor Danielovitch,2023-02-17 04:27:39,2023-02-19 04:27:39,2023-02-17 05:27:39,,2023-02-17 05:02:23,2,,Other,Tier 1,United Kingdom,,35,0,,0,2018-02-15,Senior,,
In Progress,TKT-1407,Medium,Email,Pricing and licensing,Bernard Beckley,2023-02-17 19:44:39,2023-02-19 19:44:39,2023-02-17 20:44:39,,2023-02-18 00:25:35,1,,Custom software development,Tier 1,Italy,,281,1,,1,2019-11-20,Senior,,
Closed,TKT-1408,Low,Email,Feature request,Kristos Westoll,2023-02-17 03:04:37,2023-02-19 03:04:37,2023-02-17 04:04:37,2023-02-17 05:15:44,2023-02-17 03:15:53,9,2,Custom software development,Tier 1,Poland,2.19,11,0,0,0,2021-10-18,Mid-Level,,
Resolved,TKT-1409,High,Phone,Feature request,Heather Urry,2023-02-17 12:53:12,2023-02-19 12:53:12,2023-02-17 12:55:12,2023-02-17 18:56:52,2023-02-17 12:54:47,2,,Ready to use Software,Tier 2,Slovenia,6.06,2,0,0,0,2022-09-25,Junior,,
Closed,TKT-1410,High,Email,Product setup,Adolpho Messingham,2023-02-17 11:53:04,2023-02-19 11:53:04,2023-02-17 12:53:04,2023-02-17 20:58:47,2023-02-17 12:50:04,5,5,Other,Tier 2,Republic of Ireland,9.1,57,0,0,0,2020-05-15,Mid-Level,,
Open,TKT-1411,Medium,Email,Pricing and licensing,Kristos Westoll,2023-02-18 01:40:47,2023-02-20 01:40:47,2023-02-18 02:40:47,,,,,Ready to use Software,Tier 1,Spain,,,,,,2021-10-18,Mid-Level,,
Resolved,TKT-1412,High,Email,Feature request,Adolpho Messingham,2023-02-18 01:11:10,2023-02-20 01:11:10,2023-02-18 02:11:10,2023-02-23 10:16:46,2023-02-18 01:56:03,2,,Ready to use Software,Tier 2,Greece,129.09,45,0,1,0,2020-05-15,Mid-Level,,
Closed,TKT-1413,High,Email,Product setup,Heather Urry,2023-02-18 10:17:59,2023-02-20 10:17:59,2023-02-18 11:17:59,2023-02-20 15:00:00,2023-02-18 11:00:22,1,4,Ready to use Software,Tier 2,Austria,52.7,42,1,1,0,2022-09-25,Junior,,
Closed,TKT-1420,Low,Email,Purchasing and invoicing,Bernard Beckley,2023-02-19 00:43:57,2023-02-21 00:43:57,2023-02-19 01:43:57,2023-02-20 06:53:05,2023-02-19 01:01:40,10,4,Other,Tier 1,United Kingdom,30.15,18,0,0,0,2019-11-20,Senior,,
Closed,TKT-1421,Medium,Email,Purchasing and invoicing,Kristos Westoll,2023-02-19 22:39:31,2023-02-21 22:39:31,2023-02-19 23:39:31,2023-02-21 00:56:25,2023-02-19 23:27:32,9,5,Other,Tier 1,Spain,26.28,48,0,0,0,2021-10-18,Mid-Level,,
Resolved,TKT-1422,Medium,Phone,Feature request,Connor Danielovitch,2023-02-19 22:29:15,2023-02-21 22:29:15,2023-02-19 22:31:15,2023-02-21 18:37:04,2023-02-19 22:32:09,1,,Other,Tier 1,United Kingdom,44.13,3,1,0,1,2018-02-15,Senior,,
Open,TKT-1423,Low,Email,Feature request,Kristos Westoll,2023-02-19 07:26:50,2023-02-21 07:26:50,2023-02-19 08:26:50,,,,,Other,Tier 1,United Kingdom,,,,,,2021-10-18,Mid-Level,,
Closed,TKT-1424,Low,Phone,Pricing and licensing,Bernard Beckley,2023-02-19 00:21:43,2023-02-21 00:21:43,2023-02-19 00:23:43,2023-02-20 02:58:47,2023-02-19 00:22:15,2,5,Ready to use Software,Tier 1,Poland,26.62,1,0,0,0,2019-11-20,Senior,,
Closed,TKT-1425,Medium,Email,Pricing and licensing,Bernard Beckley,2023-02-19 04:46:26,2023-02-21 04:46:26,2023-02-19 05:46:26,2023-02-20 10:42:07,2023-02-19 04:50:10,8,1,Custom software development,Tier 1,United Kingdom,29.93,4,0,0,0,2019-11-20,Senior,,
Resolved,TKT-1426,Medium,Phone,Training request,Michele Whyatt,2023-02-20 03:12:04,2023-02-22 03:12:04,2023-02-20 03:14:04,2023-02-21 15:04:02,2023-02-20 03:12:05,6,,Training and Consulting Services,Tier 2,Germany,35.87,0,0,0,0,2022-04-10,Junior,,
Resolved,TKT-1427,Medium,Email,Bug report,Nicola Wane,2023-02-20 06:04:53,2023-02-22 06:04:53,2023-02-20 07:04:53,2023-02-21 23:56:36,2023-02-20 06:39:18,2,,Ready to use Software,Tier 1,Greece,41.86,34,0,0,0,2021-03-12,Mid-Level,,
Resolved,TKT-1428,Medium,Email,Purchasing and invoicing,Nicola Wane,2023-02-20 08:22:32,2023-02-22 08:22:32,2023-02-20 09:22:32,2023-02-21 19:47:22,2023-02-20 09:19:06,3,,Other,Tier 1,Czech Republic,35.41,57,0,0,0,2021-03-12,Mid-Level,,
Resolved,TKT-1429,Low,Email,Feature request,Adolpho Messingham,2023-02-20 17:13:46,2023-02-22 17:13:46,2023-02-20 18:13:46,2023-02-21 18:04:01,2023-02-20 18:04:32,2,,Other,Tier 2,Italy,24.84,51,0,0,0,2020-05-15,Mid-Level,,
Closed,TKT-1430,Low,Email,Product setup,Nicola Wane,2023-02-20 21:22:01,2023-02-22 21:22:01,2023-02-20 22:22:01,2023-02-20 23:14:04,2023-02-20 21:55:56,1,1,Other,Tier 1,Slovenia,1.87,34,1,0,0,2021-03-12,Mid-Level,,
Resolved,TKT-1431,Low,Chat,Purchasing and invoicing,Heather Urry,2023-02-20 22:01:33,2023-02-21 22:01:33,2023-02-20 22:03:33,2023-02-21 10:33:22,2023-02-20 22:04:06,2,,Custom software development,Tier 2,Germany,12.53,3,0,0,1,2022-09-25,Junior,,
Resolved,TKT-1432,Medium,Email,Feature request,Bernard Beckley,2023-02-20 02:07:52,2023-02-22 02:07:52,2023-02-20 03:07:52,2023-02-20 17:37:23,2023-02-20 02:46:20,1,,Other,Tier 1,Greece,15.49,38,1,0,0,2019-11-20,Senior,,
Closed,TKT-1433,Low,Chat,Pricing and licensing,Heather Urry,2023-02-20 21:27:54,2023-02-21 21:27:54,2023-02-20 21:29:54,2023-02-21 21:00:53,2023-02-20 21:29:46,2,5,Ready to use Software,Tier 2,Italy,23.55,2,0,0,0,2022-09-25,Junior,,
In Progress,TKT-1434,Low,Email,Pricing and licensing,Michele Whyatt,2023-02-20 11:10:43,2023-02-22 11:10:43,2023-02-20 12:10:43,,2023-02-20 11:14:31,2,,Training and Consulting Services,Tier 2,Austria,,4,0,,0,2022-04-10,Junior,,
Closed,TKT-1435,High,Phone,Product setup,Heather Urry,2023-02-21 19:30:54,2023-02-23 19:30:54,2023-02-21 19:32:54,2023-02-22 21:05:05,2023-02-21 19:31:02,1,3,Ready to use Software,Tier 2,Italy,25.57,0,1,0,0,2022-09-25,Junior,,
In Progress,TKT-1436,High,Chat,Product setup,Sheela Cutten,2023-02-21 04:21:55,2023-02-22 04:21:55,2023-02-21 04:23:55,,2023-02-21 04:23:35,4,,Training and Consulting Services,Tier 1,Italy,,2,0,,0,2019-07-10,Senior,,
In Progress,TKT-1437,Low,Chat,Pricing and licensing,Nicola Wane,2023-02-21 11:56:08,2023-02-22 11:56:08,2023-02-21 11:58:08,,2023-02-21 11:57:49,6,,Other,Tier 1,Germany,,2,0,,0,2021-03-12,Mid-Level,,
In Progress,TKT-1438,High,Email,Other,Bernard Beckley,2023-02-21 17:45:06,2023-02-23 17:45:06,2023-02-21 18:45:06,,2023-02-21 18:16:20,1,,Custom software development,Tier 1,Poland,,31,1,,0,2019-11-20,Senior,,
Closed,TKT-1439,Medium,Email,Pricing and licensing,Nicola Wane,2023-02-21 21:30:05,2023-02-23 21:30:05,2023-02-21 22:30:05,2023-02-23 11:59:47,2023-02-21 22:08:39,2,1,Ready to use Software,Tier 1,Austria,38.5,39,0,0,0,2021-03-12,Mid-Level,,
Resolved,TKT-1440,Medium,Email,Bug report,Kristos Westoll,2023-02-22 01:36:39,2023-02-24 01:36:39,2023-02-22 02:36:39,2023-02-25 15:30:15,2023-02-22 01:47:14,6,,Ready to use Software,Tier 1,Poland,85.89,11,0,1,0,2021-10-18,Mid-Level,,
Resolved,TKT-1441,Medium,Chat,Pricing and licensing,Connor Danielovitch,2023-02-22 15:41:33,2023-02-23 15:41:33,2023-02-22 15:43:33,2023-02-22 23:55:15,2023-02-22 15:43:14,4,,Ready to use Software,Tier 1,Italy,8.23,2,0,0,0,2018-02-15,Senior,,
In Progress,TKT-1442,Low,Email,Pricing and licensing,Kristos Westoll,2023-02-22 16:13:29,2023-02-24 16:13:29,2023-02-22 17:13:29,,2023-02-22 20:30:12,2,,Custom software development,Tier 1,Austria,,257,0,,1,2021-10-18,Mid-Level,,
Resolved,TKT-1443,Low,Email,Training request,Heather Urry,2023-02-22 03:36:16,2023-02-24 03:36:16,2023-02-22 04:36:16,2023-02-22 23:45:08,2023-02-22 04:07:03,1,,Training and Consulting Services,Tier 2,Czech Republic,20.15,31,1,0,0,2022-09-25,Junior,,
Resolved,TKT-1444,Low,Email,Pricing and licensing,Kristos Westoll,2023-02-22 17:31:18,2023-02-24 17:31:18,2023-02-22 18:31:18,2023-02-23 22:15:14,2023-02-22 18:07:30,10,,Training and Consulting Services,Tier 1,France,28.73,36,0,0,0,2021-10-18,Mid-Level,,
Closed,TKT-1445,Medium,Email,Bug report,Michele Whyatt,2023-02-23 07:34:07,2023-02-25 07:34:07,2023-02-23 08:34:07,2023-02-24 03:24:29,2023-02-23 08:27:04,10,5,Custom software development,Tier 2,Poland,19.84,53,0,0,0,2022-04-10,Junior,,
In Progress,TKT-1446,Low,Email,Training request,Kristos Westoll,2023-02-23 12:45:18,2023-02-25 12:45:18,2023-02-23 13:45:18,,2023-02-23 13:20:11,9,,Training and Consulting Services,Tier 1,Germany,,35,0,,0,2021-10-18,Mid-Level,,
In Progress,TKT-1447,High,Email,Product setup,Bernard Beckley,2023-02-23 01:02:33,2023-02-25 01:02:33,2023-02-23 02:02:33,,2023-02-23 01:19:03,3,,Ready to use Software,Tier 1,Czech Republic,,17,0,,0,2019-11-20,Senior,,
In Progress,TKT-1448,Low,Chat,Pricing and licensing,Nicola Wane,2023-02-23 20:11:55,2023-02-24 20:11:55,2023-02-23 20:13:55,,2023-02-23 20:12:54,6,,Custom software development,Tier 1,Italy,,1,0,,0,2021-03-12,Mid-Level,,
Closed,TKT-1449,High,Chat,Purchasing and invoicing,Adolpho Messingham,2023-02-24 04:39:16,2023-02-25 04:39:16,2023-02-24 04:41:16,2023-02-25 00:35:50,2023-02-24 04:43:41,6,3,Ready to use Software,Tier 2,Italy,19.94,4,0,0,1,2020-05-15,Mid-Level,,
Closed,TKT-1450,Low,Chat,Bug report,Nicola Wane,2023-02-24 09:50:10,2023-02-25 09:50:10,2023-02-24 09:52:10,2023-02-24 12:22:35,2023-02-24 09:52:02,2,4,Ready to use Software,Tier 1,France,2.54,2,0,0,0,2021-03-12,Mid-Level,,
In Progress,TKT-1451,High,Email,Purchasing and invoicing,Nicola Wane,2023-02-24 09:10:47,2023-02-26 09:10:47,2023-02-24 10:10:47,,2023-02-24 09:15:30,2,,Training and Consulting Services,Tier 1,France,,5,0,,0,2021-03-12,Mid-Level,,
In Progress,TKT-1452,Low,Email,Other,Heather Urry,2023-02-24 04:28:22,2023-02-26 04:28:22,2023-02-24 05:28:22,,2023-02-24 04:44:06,7,,Custom software development,Tier 2,Austria,,16,0,,0,2022-09-25,Junior,,
Closed,TKT-1453,High,Email,Pricing and licensing,Nicola Wane,2023-02-24 21:10:42,2023-02-26 21:10:42,2023-02-24 22:10:42,2023-02-26 03:21:22,2023-02-24 21:40:04,6,1,Custom software development,Tier 1,Germany,30.18,29,0,0,0,2021-03-12,Mid-Level,,
In Progress,TKT-1454,Low,Email,Pricing and licensing,Nicola Wane,2023-02-25 01:51:32,2023-02-27 01:51:32,2023-02-25 02:51:32,,2023-02-25 06:52:32,1,,Custom software development,Tier 1,Germany,,301,1,,1,2021-03-12,Mid-Level,,
Closed,TKT-1455,Medium,Email,Bug report,Bernard Beckley,2023-02-25 14:45:30,2023-02-27 14:45:30,2023-02-25 15:45:30,2023-02-26 22:23:28,2023-02-25 14:59:47,10,5,Ready to use Software,Tier 1,Czech Republic,31.63,14,0,0,0,2019-11-20,Senior,,
Closed,TKT-1466,High,Email,Product setup,Kristos Westoll,2023-02-26 08:44:33,2023-02-28 08:44:33,2023-02-26 09:44:33,2023-02-28 05:27:26,2023-02-26 08:44:37,10,3,Other,Tier 1,Republic of Ireland,44.71,0,0,0,0,2021-10-18,Mid-Level,,
Resolved,TKT-1467,High,Chat,Other,Sheela Cutten,2023-02-26 03:47:31,2023-02-27 03:47:31,2023-02-26 03:49:31,2023-02-26 06:00:10,2023-02-26 03:48:19,2,,Ready to use Software,Tier 1,Greece,2.21,1,0,0,0,2019-07-10,Senior,,
Closed,TKT-1468,Low,Email,Feature request,Kristos Westoll,2023-02-26 21:50:54,2023-02-28 21:50:54,2023-02-26 22:50:54,2023-03-04 00:05:57,2023-02-26 22:39:15,1,2,Ready to use Software,Tier 1,Germany,122.25,48,1,1,0,2021-10-18,Mid-Level,,
Closed,TKT-1469,High,Phone,Pricing and licensing,Sheela Cutten,2023-02-26 18:41:30,2023-02-28 18:41:30,2023-02-26 18:43:30,2023-02-28 18:30:06,2023-02-26 18:42:19,1,2,Ready to use Software,Tier 1,Czech Republic,47.81,1,1,0,0,2019-07-10,Senior,,
Closed,TKT-1470,Medium,Chat,Pricing and licensing,Connor Danielovitch,2023-02-27 17:25:50,2023-02-28 17:25:50,2023-02-27 17:27:50,2023-02-27 17:58:27,2023-02-27 17:26:15,2,5,Custom software development,Tier 1,Slovenia,0.54,0,0,0,0,2018-02-15,Senior,,
In Progress,TKT-1471,Medium,Chat,Pricing and licensing,Michele Whyatt,2023-02-27 02:21:58,2023-02-28 02:21:58,2023-02-27 02:23:58,,2023-02-27 02:23:24,6,,Custom software development,Tier 2,Germany,,1,0,,0,2022-04-10,Junior,,
Closed,TKT-1472,Medium,Chat,Feature request,Kristos Westoll,2023-02-27 15:33:36,2023-02-28 15:33:36,2023-02-27 15:35:36,2023-02-27 23:50:12,2023-02-27 15:34:13,4,5,Ready to use Software,Tier 1,Greece,8.28,1,0,0,0,2021-10-18,Mid-Level,,
Closed,TKT-1473,Medium,Chat,Pricing and licensing,Nicola Wane,2023-02-27 22:04:36,2023-02-28 22:04:36,2023-02-27 22:06:36,2023-02-28 01:25:22,2023-02-27 22:06:20,4,4,Custom software development,Tier 1,Austria,3.35,2,0,0,0,2021-03-12,Mid-Level,,
Closed,TKT-1474,Low,Chat,Product setup,Adolpho Messingham,2023-02-28 07:57:24,2023-03-01 07:57:24,2023-02-28 07:59:24,2023-02-28 20:26:45,2023-02-28 08:01:00,5,4,Ready to use Software,Tier 2,Slovenia,12.49,4,0,0,1,2020-05-15,Mid-Level,,
In Progress,TKT-1475,High,Chat,Bug report,Bernard Beckley,2023-02-28 12:00:49,2023-03-01 12:00:49,2023-02-28 12:02:49,,2023-02-28 12:01:00,6,,Custom software development,Tier 1,Poland,,0,0,,0,2019-11-20,Senior,,
Resolved,TKT-1476,Low,Chat,Pricing and licensing,Kristos Westoll,2023-02-28 22:29:10,2023-03-01 22:29:10,2023-02-28 22:31:10,2023-03-01 17:11:04,2023-02-28 22:30:24,8,,Custom software development,Tier 1,Bulgaria,18.7,1,0,0,0,2021-10-18,Mid-Level,,
Resolved,TKT-1477,Low,Chat,Purchasing and invoicing,Sheela Cutten,2023-02-28 18:38:27,2023-03-01 18:38:27,2023-02-28 18:40:27,2023-02-28 21:58:58,2023-02-28 18:42:40,6,,Custom software development,Tier 1,Poland,3.34,4,0,0,1,2019-07-10,Senior,,
Closed,TKT-1478,High,Email,Bug report,Bernard Beckley,2023-02-28 17:42:31,2023-03-02 17:42:31,2023-02-28 18:42:31,2023-03-01 13:03:45,2023-02-28 17:46:03,2,4,Custom software development,Tier 1,Czech Republic,19.35,4,0,0,0,2019-11-20,Senior,,
In Progress,TKT-1479,Medium,Phone,Pricing and licensing,Connor Danielovitch,2023-02-28 04:14:22,2023-03-02 04:14:22,2023-02-28 04:16:22,,2023-02-28 04:14:39,1,,Custom software development,Tier 1,Germany,,0,1,,0,2018-02-15,Senior,,
Closed,TKT-1480,Low,Chat,Other,Michele Whyatt,2023-02-28 10:13:16,2023-03-01 10:13:16,2023-02-28 10:15:16,2023-03-01 03:14:59,2023-02-28 10:14:07,9,1,Ready to use Software,Tier 2,Poland,17.03,1,0,0,0,2022-04-10,Junior,,
Closed,TKT-1481,Low,Phone,Product setup,Bernard Beckley,2023-02-28 13:27:04,2023-03-02 13:27:04,2023-02-28 13:29:04,2023-03-01 20:46:07,2023-02-28 13:28:04,7,5,Other,Tier 1,United Kingdom,31.32,1,0,0,0,2019-11-20,Senior,,
Closed,TKT-1482,Low,Email,Bug report,Michele Whyatt,2023-03-01 22:02:52,2023-03-03 22:02:52,2023-03-01 23:02:52,2023-03-02 10:58:24,2023-03-01 22:54:39,8,5,Training and Consulting Services,Tier 2,Poland,12.93,52,0,0,0,2022-04-10,Junior,,
Closed,TKT-1483,Low,Phone,Product setup,Connor Danielovitch,2023-03-01 23:03:38,2023-03-03 23:03:38,2023-03-01 23:05:38,2023-03-03 15:08:18,2023-03-01 23:04:45,4,4,Ready to use Software,Tier 1,Republic of Ireland,40.08,1,0,0,0,2018-02-15,Senior,,
Closed,TKT-1484,Low,Phone,Purchasing and invoicing,Kristos Westoll,2023-03-01 09:33:46,2023-03-03 09:33:46,2023-03-01 09:35:46,2023-03-02 05:13:30,2023-03-01 09:36:29,4,4,Ready to use Software,Tier 1,Italy,19.66,3,0,0,1,2021-10-18,Mid-Level,,
Resolved,TKT-1485,Low,Email,Product setup,Michele Whyatt,2023-03-01 18:50:42,2023-03-03 18:50:42,2023-03-01 19:50:42,2023-03-02 20:50:25,2023-03-01 19:11:19,2,,Custom software development,Tier 2,Italy,26,21,0,0,0,2022-04-10,Junior,,
Closed,TKT-1486,Low,Email,Product setup,Nicola Wane,2023-03-01 06:21:31,2023-03-03 06:21:31,2023-03-01 07:21:31,2023-03-02 04:46:21,2023-03-01 06:23:37,7,3,Other,Tier 1,Italy,22.41,2,0,0,0,2021-03-12,Mid-Level,,
Closed,TKT-1487,Low,Chat,Pricing and licensing,Nicola Wane,2023-03-02 23:55:40,2023-03-03 23:55:40,2023-03-02 23:57:40,2023-03-03 04:43:26,2023-03-02 23:57:34,5,4,Ready to use Software,Tier 1,France,4.8,2,0,0,0,2021-03-12,Mid-Level,,
Resolved,TKT-1488,Low,Email,Pricing and licensing,Connor Danielovitch,2023-03-02 03:37:30,2023-03-04 03:37:30,2023-03-02 04:37:30,2023-03-03 02:13:16,2023-03-02 06:50:04,1,,Ready to use Software,Tier 1,Spain,22.6,193,1,0,1,2018-02-15,Senior,,
Closed,TKT-1489,High,Phone,Feature request,Kristos Westoll,2023-03-02 07:15:57,2023-03-04 07:15:57,2023-03-02 07:17:57,2023-03-03 09:51:10,2023-03-02 07:21:52,2,4,Ready to use Software,Tier 1,Germany,26.59,6,0,0,1,2021-10-18,Mid-Level,,
Resolved,TKT-1490,Low,Chat,Bug report,Heather Urry,2023-03-02 20:46:03,2023-03-03 20:46:03,2023-03-02 20:48:03,2023-03-03 07:27:26,2023-03-02 20:47:32,5,,Ready to use Software,Tier 2,Greece,10.69,1,0,0,0,2022-09-25,Junior,,
Resolved,TKT-1491,Low,Chat,Other,Adolpho Messingham,2023-03-02 00:14:40,2023-03-03 00:14:40,2023-03-02 00:16:40,2023-03-02 06:22:49,2023-03-02 00:16:06,3,,Custom software development,Tier 2,Bulgaria,6.14,1,0,0,0,2020-05-15,Mid-Level,,
Resolved,TKT-1492,Low,Email,Feature request,Nicola Wane,2023-03-02 12:11:42,2023-03-04 12:11:42,2023-03-02 13:11:42,2023-03-03 04:06:41,2023-03-02 12:58:52,1,,Ready to use Software,Tier 1,Italy,15.92,47,1,0,0,2021-03-12,Mid-Level,,
Closed,TKT-1493,Low,Email,Product setup,Connor Danielovitch,2023-03-02 04:22:49,2023-03-04 04:22:49,2023-03-02 05:22:49,2023-03-03 20:18:33,2023-03-02 04:34:46,9,5,Ready to use Software,Tier 1,Bulgaria,39.93,12,0,0,0,2018-02-15,Senior,,
Closed,TKT-1494,Medium,Email,Product setup,Bernard Beckley,2023-03-02 15:32:25,2023-03-04 15:32:25,2023-03-02 16:32:25,2023-03-02 21:26:26,2023-03-02 15:34:54,9,1,Other,Tier 1,United Kingdom,5.9,2,0,0,0,2019-11-20,Senior,,
